id,date,user,department,software,seats,amount
1,2022-10-23 18:50:10 +0530,Wil Wheaton,Marketting,Apple,3,60
2,2022-11-17 16:37:10 +0530,Leslie Winkle,Tech,Outplay,1,12
3,2022-05-14 09:00:57 +0530,Amy Farrah Fowler,Tech,Outplay,3,36
4,2023-02-03 14:37:45 +0530,Bert Kibbler,Customer Success,Sentry,1,5
5,2022-10-18 09:11:51 +0530,Dr. Beverly Hofstadter,Sales,Discord,2,2
6,2022-11-29 08:38:37 +0530,Amy Farrah Fowler,Tech,Outplay,2,24
7,2022-08-27 06:37:02 +0530,Priya Koothrappali,Sales,Teams,4,20
8,2022-06-04 20:14:20 +0530,Wil Wheaton,Marketting,Google,5,10
9,2023-04-29 22:33:56 +0530,Sheldon Cooper,Tech,Discord,3,3
10,2022-06-19 12:21:18 +0530,Leslie Winkle,Tech,Google,2,4
11,2022-06-02 00:18:59 +0530,Emily Sweeney,HR,Github,5,20
12,2022-06-06 17:26:46 +0530,Wil Wheaton,Marketting,Fullstory,3,33
13,2022-08-15 07:58:28 +0530,Rostenkowski,Tech,Height,2,6
14,2023-04-20 18:43:21 +0530,Dr. V.M. Koothrappali,Marketting,Slack,2,20
15,2022-06-11 04:44:12 +0530,Bert Kibbler,Customer Success,Zapier,5,20
16,2022-09-12 07:52:40 +0530,Dr. Beverly Hofstadter,Sales,Sentry,2,10
17,2022-12-05 18:58:24 +0530,Barry Kripke,Customer Success,Sentry,4,20
18,2023-04-05 02:35:02 +0530,Dr. Beverly Hofstadter,Sales,Apple,4,80
19,2022-06-03 23:28:27 +0530,Leslie Winkle,Tech,Outplay,4,48
20,2023-01-27 00:35:56 +0530,Emily Sweeney,HR,Outplay,3,36
21,2022-06-23 03:27:17 +0530,Bert Kibbler,Customer Success,Discord,5,5
22,2023-03-16 12:32:53 +0530,Leonard Hofstadter,Tech,Height,3,9
23,2022-08-05 02:03:24 +0530,Leslie Winkle,Tech,Slack,1,10
24,2022-06-18 07:42:55 +0530,Dr. Beverly Hofstadter,Sales,Figma,3,42
25,2023-03-12 21:12:39 +0530,Sheldon Cooper,Tech,Slack,2,20
26,2022-10-03 23:40:46 +0530,Priya Koothrappali,Sales,Fullstory,3,33
27,2023-02-05 09:15:22 +0530,Leonard Hofstadter,Tech,Sentry,5,25
28,2023-02-11 17:09:19 +0530,Rostenkowski,Tech,Figma,3,42
29,2022-11-10 06:05:04 +0530,Bert Kibbler,Customer Success,Appolo,4,68
30,2022-09-20 21:18:21 +0530,Leslie Winkle,Tech,Teams,3,15
31,2022-08-23 14:16:45 +0530,Amy Farrah Fowler,Tech,Teams,1,5
32,2022-08-10 23:50:01 +0530,Denise,HR,Teams,2,10
33,2023-04-22 06:18:18 +0530,Amy Farrah Fowler,Tech,Outplay,4,48
34,2023-02-15 09:21:05 +0530,Bert Kibbler,Customer Success,Slack,2,20
35,2022-06-24 10:38:26 +0530,Leonard Hofstadter,Tech,Sentry,3,15
36,2023-02-11 00:22:09 +0530,Dr. Beverly Hofstadter,Sales,Height,5,15
37,2022-05-18 06:49:43 +0530,Dr. Beverly Hofstadter,Sales,Teams,2,10
38,2022-05-22 02:17:53 +0530,Wil Wheaton,Marketting,Apple,1,20
39,2022-06-30 19:36:10 +0530,Rostenkowski,Tech,Fullstory,5,55
40,2022-06-18 15:47:13 +0530,Priya Koothrappali,Sales,Zapier,3,12
41,2022-10-31 17:06:32 +0530,Denise,HR,Figma,4,56
42,2023-01-25 21:47:16 +0530,Dr. V.M. Koothrappali,Marketting,Fullstory,4,44
43,2022-09-17 00:15:29 +0530,Denise,HR,Github,1,4
44,2023-04-22 14:03:29 +0530,Leslie Winkle,Tech,Discord,5,5
45,2022-05-24 15:49:03 +0530,Rostenkowski,Tech,Apple,5,100
46,2022-09-04 06:12:08 +0530,Barry Kripke,Customer Success,Teams,1,5
47,2022-09-30 09:35:21 +0530,Leslie Winkle,Tech,Slack,3,30
48,2022-10-02 06:59:07 +0530,Leonard Hofstadter,Tech,Height,5,15
49,2023-01-10 19:33:11 +0530,Dr. V.M. Koothrappali,Marketting,Zapier,3,12
50,2022-12-09 21:13:04 +0530,Emily Sweeney,HR,Slack,4,40
51,2023-01-25 06:19:20 +0530,Bert Kibbler,Customer Success,Zapier,1,4
52,2022-09-28 02:25:59 +0530,Bert Kibbler,Customer Success,Sentry,3,15
53,2023-05-07 05:04:51 +0530,Wil Wheaton,Marketting,Apple,5,100
54,2023-02-16 21:24:33 +0530,Emily Sweeney,HR,Google,2,4
55,2023-01-11 03:09:03 +0530,Priya Koothrappali,Sales,Height,2,6
56,2023-04-04 17:06:45 +0530,Leonard Hofstadter,Tech,Google,4,8
57,2023-05-09 14:36:37 +0530,Leonard Hofstadter,Tech,Sentry,4,20
58,2022-11-10 16:32:29 +0530,Amy Farrah Fowler,Tech,Figma,5,70
59,2023-02-27 09:31:26 +0530,Leslie Winkle,Tech,Zapier,5,20
60,2022-09-19 05:13:25 +0530,Amy Farrah Fowler,Tech,Zoho Crm,4,72
61,2022-06-12 05:26:32 +0530,Rostenkowski,Tech,Circleci,1,9
62,2022-11-10 16:53:09 +0530,Dr. Beverly Hofstadter,Sales,Sentry,1,5
63,2022-05-31 04:59:08 +0530,Rostenkowski,Tech,Notion,1,7
64,2022-08-26 10:59:18 +0530,Dr. V.M. Koothrappali,Marketting,Outplay,5,60
65,2023-01-05 21:38:59 +0530,Amy Farrah Fowler,Tech,Circleci,3,27
66,2023-02-26 22:22:55 +0530,Amy Farrah Fowler,Tech,Height,2,6
67,2022-09-11 09:02:17 +0530,Rostenkowski,Tech,Circleci,1,9
68,2022-10-30 07:48:32 +0530,Wil Wheaton,Marketting,Teams,5,25
69,2022-06-20 09:32:44 +0530,Dr. Beverly Hofstadter,Sales,Notion,1,7
70,2022-07-18 08:00:16 +0530,Leonard Hofstadter,Tech,Teams,2,10
71,2022-09-24 13:28:10 +0530,Leslie Winkle,Tech,Teams,5,25
72,2022-06-04 23:35:03 +0530,Rostenkowski,Tech,Height,2,6
73,2022-06-11 09:52:19 +0530,Priya Koothrappali,Sales,Slack,1,10
74,2023-04-08 04:09:04 +0530,Amy Farrah Fowler,Tech,Teams,4,20
75,2022-08-26 14:32:07 +0530,Wil Wheaton,Marketting,Outplay,5,60
76,2022-07-19 21:49:28 +0530,Dr. Beverly Hofstadter,Sales,Zoho Crm,3,54
77,2022-10-29 12:54:02 +0530,Priya Koothrappali,Sales,Github,4,16
78,2023-04-19 06:50:20 +0530,Dr. Beverly Hofstadter,Sales,Height,3,9
79,2022-07-13 02:20:33 +0530,Rostenkowski,Tech,Outplay,1,12
80,2022-07-01 10:09:06 +0530,Emily Sweeney,HR,Height,4,12
81,2022-07-16 23:54:29 +0530,Amy Farrah Fowler,Tech,Zapier,1,4
82,2022-10-19 07:32:34 +0530,Wil Wheaton,Marketting,Outplay,1,12
83,2022-10-19 21:03:04 +0530,Leonard Hofstadter,Tech,Appolo,4,68
84,2023-03-03 03:58:07 +0530,Dr. Beverly Hofstadter,Sales,Circleci,3,27
85,2023-04-08 16:00:57 +0530,Bert Kibbler,Customer Success,Outplay,2,24
86,2022-06-16 16:45:44 +0530,Dr. V.M. Koothrappali,Marketting,Google,3,6
87,2022-05-11 01:35:30 +0530,Wil Wheaton,Marketting,Circleci,3,27
88,2022-11-16 17:02:06 +0530,Dr. Beverly Hofstadter,Sales,Teams,2,10
89,2022-12-16 15:44:54 +0530,Denise,HR,Figma,4,56
90,2022-09-15 07:27:26 +0530,Sheldon Cooper,Tech,Github,1,4
91,2023-01-05 18:11:51 +0530,Emily Sweeney,HR,Height,4,12
92,2022-09-03 09:41:58 +0530,Priya Koothrappali,Sales,Circleci,5,45
93,2023-02-05 10:36:46 +0530,Leslie Winkle,Tech,Google,1,2
94,2022-12-26 13:07:48 +0530,Wil Wheaton,Marketting,Outplay,1,12
95,2022-07-22 00:05:25 +0530,Emily Sweeney,HR,Height,3,9
96,2022-05-22 19:13:14 +0530,Wil Wheaton,Marketting,Slack,5,50
97,2022-09-17 11:26:46 +0530,Sheldon Cooper,Tech,Outplay,2,24
98,2022-11-12 17:15:41 +0530,Sheldon Cooper,Tech,Google,2,4
99,2022-10-20 01:58:02 +0530,Leslie Winkle,Tech,Fullstory,4,44
100,2022-07-13 01:25:34 +0530,Rostenkowski,Tech,Circleci,1,9
101,2022-06-25 10:54:39 +0530,Priya Koothrappali,Sales,Google,4,8
102,2022-08-14 13:18:55 +0530,Barry Kripke,Customer Success,Zoho Crm,2,36
103,2023-05-02 21:44:20 +0530,Barry Kripke,Customer Success,Figma,1,14
104,2022-07-28 14:35:44 +0530,Barry Kripke,Customer Success,Sentry,4,20
105,2022-10-23 14:28:36 +0530,Leonard Hofstadter,Tech,Notion,3,21
106,2023-05-06 04:49:48 +0530,Dr. V.M. Koothrappali,Marketting,Appolo,3,51
107,2023-04-13 08:26:34 +0530,Priya Koothrappali,Sales,Height,5,15
108,2022-06-26 22:46:07 +0530,Bert Kibbler,Customer Success,Teams,3,15
109,2022-08-25 16:32:23 +0530,Dr. V.M. Koothrappali,Marketting,Circleci,2,18
110,2022-09-02 22:03:46 +0530,Amy Farrah Fowler,Tech,Height,3,9
111,2023-01-16 00:49:56 +0530,Barry Kripke,Customer Success,Fullstory,3,33
112,2022-07-24 15:04:38 +0530,Sheldon Cooper,Tech,Height,3,9
113,2022-11-05 12:51:32 +0530,Leonard Hofstadter,Tech,Appolo,1,17
114,2022-10-16 22:41:10 +0530,Dr. V.M. Koothrappali,Marketting,Zapier,2,8
115,2022-10-22 22:44:12 +0530,Sheldon Cooper,Tech,Outplay,1,12
116,2022-08-26 11:24:05 +0530,Denise,HR,Zapier,2,8
117,2023-01-20 21:06:57 +0530,Barry Kripke,Customer Success,Zapier,3,12
118,2022-12-14 02:45:38 +0530,Leslie Winkle,Tech,Appolo,4,68
119,2023-02-01 00:56:03 +0530,Rostenkowski,Tech,Discord,3,3
120,2022-10-29 23:40:42 +0530,Amy Farrah Fowler,Tech,Teams,5,25
121,2023-02-15 06:59:47 +0530,Amy Farrah Fowler,Tech,Appolo,5,85
122,2023-03-04 08:44:05 +0530,Barry Kripke,Customer Success,Height,5,15
123,2022-10-31 01:16:12 +0530,Sheldon Cooper,Tech,Appolo,1,17
124,2023-01-19 20:29:52 +0530,Emily Sweeney,HR,Appolo,4,68
125,2023-04-22 10:19:43 +0530,Barry Kripke,Customer Success,Zapier,2,8
126,2023-04-29 17:12:06 +0530,Bert Kibbler,Customer Success,Discord,3,3
